Id,Region,Garden/Balcony,Base Rent,Construction Year,Living Space,Lift and Floor,Rooms,Parking Spaces,Condition,Additional Cost,nrPicks
47026345,Reutlingen Kreis,garden,915,1937,102,no lift + floor 0,4,1,well kept,140,6
49758317,Ludwigsburg Kreis,balcony,535,2006,52,no lift + floor 0,2.5,1,mint condition,130,7
50424616,Ravensburg Kreis,both,919,2003,110,lift + floor 0,4.5,2,well kept,230,6
51443126,Göppingen Kreis,both,1750,1994,140,no lift + floor 1,4,1,fully renovated,270,6
54251197,Reutlingen Kreis,balcony,530,1987,55,no lift + floor 1,2.5,1,well kept,150,7
59752728,Ostalbkreis,both,770,2000,89,no lift + floor 0,3.5,1,mint condition,150,7
60114670,Reutlingen Kreis,both,650,2000,67,no lift + floor 1,3,1,well kept,130,7
60157405,Rems Murr Kreis,balcony,1400,2004,100,lift + floor 3,3,1,mint condition,100,7
63313248,Freiburg im Breisgau,none,890,1981,92,no lift + floor 3,3.5,1,fully renovated,170,7
64481860,Stuttgart,both,840,1965,72,no lift + floor 1,2.5,1,well kept,200,6
65066269,Pforzheim,balcony,1050,2012,111,lift + floor 2,4.5,1,mint condition,260,7
66133067,Breisgau Hochschwarzwald Kreis,balcony,1300,2012,160,no lift + floor 1,4.5,1,mint condition,200,7
66612403,Ravensburg Kreis,balcony,990,1993,110,no lift + floor 2,3.5,1,mint condition,210,7
67148622,Konstanz Kreis,balcony,635,2013,72,no lift + floor 0,3,1,mint condition,160,6
68298937,Enzkreis,both,1450,2006,190,no lift + floor 2,4.5,2,mint condition,250,7
69547634,Ortenaukreis,balcony,670,1966,76,lift + floor 8,3,1,well kept,200,6
70686667,Schwäbisch Hall Kreis,balcony,1150,2011,135,lift + floor 2,3.5,2,mint condition,250,7
71244944,Göppingen Kreis,balcony,490,1993,49,no lift + floor 1,1.5,1,fully renovated,130,7
71801060,Ravensburg Kreis,balcony,1200,2005,154,no lift + floor 2,5.5,1,mint condition,190,7
72592550,Rems Murr Kreis,both,1387.2,2006,136,no lift + floor 2,4,3,mint condition,300,7
73786979,Esslingen Kreis,both,1800,1985,260,no lift + floor 0,8,1,well kept,80,6
74286482,Konstanz Kreis,balcony,700,1994,80,no lift + floor 0,4,0,well kept,90,7
75295992,Ostalbkreis,balcony,600,2000,74,no lift + floor 2,3.5,1,well kept,150,7
75350834,Heidelberg,balcony,1180,1997,114,no lift + floor 1,4.5,2,well kept,250,7
77839073,Ludwigsburg Kreis,balcony,470,1985,57,no lift + floor 1,2,1,well kept,100,7
78659446,Pforzheim,both,1230,2014,141,lift + floor 1,4,1,mint condition,220,7
79165928,Waldshut Kreis,balcony,930.2,1910,97.8,no lift + floor 1,3,1,well kept,140,7
81843209,Enzkreis,both,994,2002,142.16,no lift + floor 2,4.5,1,mint condition,300,7
82293252,Rems Murr Kreis,both,1340,2009,127,no lift + floor 2,3.5,1,fully renovated,150,6
82393787,Enzkreis,balcony,1400,2020,125,lift + floor 2,5,1,first time use,330,7
82463914,Ludwigsburg Kreis,none,670,1983,67.7,no lift + floor 0,2.5,1,well kept,250,6
82615230,Bodenseekreis,none,540,2009,57,lift + floor 1,2,1,mint condition,140,7
83689389,Ostalbkreis,balcony,825,2014,97.01,lift + floor 1,3.5,2,mint condition,220,7
84698175,Ortenaukreis,balcony,800,2011,75,lift + floor 2,2,1,mint condition,135,7
85556906,Ravensburg Kreis,balcony,590,1958,48,no lift + floor 0,1.5,0,mint condition,100,7
86918096,Ravensburg Kreis,balcony,570,1995,60,no lift + floor 1,2.5,1,well kept,190,7
87101550,Breisgau Hochschwarzwald Kreis,balcony,820,2008,90,no lift + floor 1,2,1,mint condition,120,6
87272116,Göppingen Kreis,balcony,749,2016,84,no lift + floor 0,3,1,mint condition,150,7
87344299,Waldshut Kreis,balcony,580,1957,55,no lift + floor 2,3,1,well kept,120,7
87841578,Esslingen Kreis,garden,560,1750,58,no lift + floor 1,3,1,well kept,160,7
88160470,Schwarzwald Baar Kreis,none,500,1951,63,no lift + floor 3,3,1,well kept,125,6
88183431,Ortenaukreis,balcony,730,2016,64,lift + floor 2,2,1,mint condition,180,7
88214421,Esslingen Kreis,both,1190,1986,103.17,lift + floor 3,3.5,1,fully renovated,180,7
88928088,Stuttgart,both,1950,1957,135,no lift + floor 4,4,1,fully renovated,150,7
88984062,Stuttgart,balcony,900,2006,58.5,lift + floor 0,2,1,mint condition,160,7
89109755,Waldshut Kreis,both,645,2016,66,no lift + floor 1,3,1,mint condition,110,7
89255524,Freiburg im Breisgau,balcony,1300,2018,111,lift + floor 2,4,1,mint condition,350,7
89595597,Breisgau Hochschwarzwald Kreis,balcony,1550,2016,130,no lift + floor 0,4,1,mint condition,150,7
89899348,Enzkreis,balcony,475,1995,60,no lift + floor 2,2,1,well kept,135,7
89995728,Göppingen Kreis,balcony,570,2017,55,lift + floor 2,2,1,mint condition,150,6
90560368,Göppingen Kreis,both,1200,1978,135,no lift + floor 0,4.5,1,well kept,320,7
90672029,Bodenseekreis,balcony,1315,2016,88.35,lift + floor 4,4,1,mint condition,323,7
91040695,Stuttgart,balcony,2170,1965,172.34,lift + floor 2,4.5,1,well kept,400,7
91086997,Heidelberg,balcony,995,2016,77.87,lift + floor 2,2,1,mint condition,220,6
91455953,Bodenseekreis,balcony,1000,1972,97,lift + floor 4,3.5,1,fully renovated,200,6
91994318,Schwarzwald Baar Kreis,balcony,690,1993,99,no lift + floor 2,3.5,1,mint condition,220,6
92274936,Waldshut Kreis,balcony,800,2017,81.62,no lift + floor 0,3,1,mint condition,165,7
92436233,Rems Murr Kreis,both,900,2007,98.5,no lift + floor 1,4.5,1,well kept,70,6
92711603,Waldshut Kreis,balcony,1260,2013,183.59,lift + floor 4,4.5,2,mint condition,360,6
93110987,Stuttgart,both,1690,2007,99.6,lift + floor 0,2,1,well kept,340,7
93342028,Stuttgart,balcony,1200,1930,86,no lift + floor 1,3,1,well kept,290,7
93518750,Bodenseekreis,balcony,1850,2017,137,lift + floor 1,3,2,mint condition,230,7
94404915,Waldshut Kreis,balcony,717,2015,70.56,lift + floor 0,2.5,1,mint condition,180,7
94807366,Schwarzwald Baar Kreis,balcony,1500,2017,75,no lift + floor 1,2,1,mint condition,300,6
95010152,Rems Murr Kreis,both,1910,2017,173,no lift + floor 0,6,1,mint condition,265,7
96007990,Rems Murr Kreis,balcony,1450,2006,140,lift + floor 4,3,1,mint condition,350,7
96038893,Reutlingen Kreis,both,1550,2016,149,no lift + floor 0,4,2,mint condition,250,7
98942895,Esslingen Kreis,balcony,600,1984,52,no lift + floor 1,2.5,1,well kept,150,7
99185180,Schwäbisch Hall Kreis,both,1250,2019,140,no lift + floor 1,5,1,first time use,150,6
99346915,Schwäbisch Hall Kreis,balcony,890,2017,120,no lift + floor 2,4.5,2,mint condition,200,7
100120418,Pforzheim,balcony,1150,2012,127,no lift + floor 2,4,1,mint condition,250,7
100640026,Ortenaukreis,balcony,990,2018,98.11,lift + floor 4,3,2,mint condition,200,7
100640440,Schwäbisch Hall Kreis,balcony,495,1987,78,no lift + floor 0,2,1,fully renovated,150,7
101038277,Waldshut Kreis,balcony,720,1966,96,no lift + floor 1,5,1,fully renovated,140,7
101173351,Freiburg im Breisgau,balcony,2000,1986,153.08,no lift + floor 2,3.5,2,well kept,300,6
101194234,Ludwigsburg Kreis,both,1110,2018,66,lift + floor 2,2,1,mint condition,180,7
101392463,Ludwigsburg Kreis,balcony,790,1996,80,no lift + floor 3,3.5,1,well kept,155,7
101578747,Ostalbkreis,balcony,500,1992,59.22,lift + floor 0,2,1,well kept,215,6
101854055,Reutlingen Kreis,none,700,1990,78,no lift + floor 4,2.5,1,mint condition,150,6
101867117,Heidelberg,both,1520,2005,121.81,no lift + floor 2,5,1,mint condition,300,7
102071533,Enzkreis,balcony,800,1992,80,no lift + floor 3,3,1,well kept,200,6
102441176,Freiburg im Breisgau,balcony,1315,2018,76,lift + floor 6,2,1,mint condition,180,7
102450158,Ravensburg Kreis,none,600,2013,68,no lift + floor 1,2,1,mint condition,15,6
102807331,Esslingen Kreis,balcony,970,1976,122,lift + floor 7,4,1,well kept,170,7
103150757,Schwäbisch Hall Kreis,balcony,640,2016,62.51,lift + floor 2,2,1,mint condition,140,7
103182017,Heidelberg,both,1000,2014,76.61,lift + floor 2,3,1,mint condition,200,7
103367914,Freiburg im Breisgau,balcony,895,2003,60,lift + floor 4,2,1,fully renovated,170,6
103586585,Waldshut Kreis,both,1078,2018,98.08,no lift + floor 2,3,2,first time use,80,6
103717779,Waldshut Kreis,both,1165,2016,121,no lift + floor 3,4.5,1,mint condition,245,7
103871023,Ortenaukreis,balcony,1080,2003,129,no lift + floor 2,4,2,well kept,220,7
104314826,Waldshut Kreis,balcony,950,2018,80.2,lift + floor 3,2.5,1,first time use,45,6
